title,movie_id,avg_user_rating,popularity,positive_count,neutral_count,negative_count,total_reviews,genre_utama,ringkasan_film,positive_percentage,neutral_percentage,negative_percentage,rating_norm,popularity_norm,sentiment_norm,final_score
The Silence of the Lambs,274.0,8.826086956521738,4.307222,21,1,1,23,Crime,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",91.3,4.35,4.35,0.8315175228522276,0.007867240296704936,0.9043009569904302,0.6886224965825838
Raiders of the Lost Ark,85.0,8.704347826086956,19.901576,21,1,1,23,Adventure,"Ketika Dr. Indiana Jones – profesor berjas wol yang kebetulan adalah seorang arkeolog terkenal – dipekerjakan oleh pemerintah untuk menemukan Tabut Perjanjian yang legendaris, dia mendapati dirinya melawan seluruh rezim Nazi.",91.3,4.35,4.35,0.8031841333018517,0.036350687444282145,0.9043009569904302,0.6801524912369112
Memento,77.0,8.717391304347826,15.450789,21,1,1,23,Mystery,"Menderita kehilangan ingatan jangka pendek setelah cedera kepala, Leonard Shelby memulai pencarian suram untuk menemukan orang rendahan yang membunuh istrinya dalam film thriller rumit dan rumit yang lebih rumit daripada jerat algojo.Untuk melaksanakan rencananya, Shelby mengambil Polaroid orang dan tempat, menuliskan catatan kontekstual di belakang foto untuk membantu pencarian dan membangkitkan ingatannya.Dia bahkan menato tubuhnya sendiri dalam upaya putus asa untuk mengingatnya.",91.3,4.35,4.35,0.8062198536108207,0.02822122236482943,0.9043009569904302,0.6800444583755052
The Grand Budapest Hotel,120467.0,8.652173913043478,14.442048,21,1,1,23,Comedy,"Grand Budapest Hotel menceritakan tentang seorang pramutamu legendaris di sebuah hotel terkenal Eropa antara masa perang dan persahabatannya dengan seorang karyawan muda yang menjadi anak didik kepercayaannya.Ceritanya melibatkan pencurian dan pemulihan lukisan Renaisans yang tak ternilai harganya, perebutan kekayaan keluarga yang sangat besar, serta pergolakan perlahan dan tiba-tiba yang mengubah Eropa pada paruh pertama abad ke-20.",91.3,4.35,4.35,0.7910412520659764,0.026378733669299357,0.9043009569904302,0.6720866598639771
The Departed,1422.0,8.630434782608695,18.515448,21,1,1,23,Drama,"Untuk menjatuhkan Mafia Irlandia di Boston Selatan, polisi mengirim salah satu dari mereka untuk menyusup ke dunia bawah, tanpa menyadari bahwa sindikat tersebut telah melakukan hal yang sama.Saat seorang polisi yang menyamar menjilat gembong mafia, seorang penjahat karier naik pangkat di kepolisian.Namun kedua belah pihak segera mengetahui ada tahi lalat di antara mereka.",91.3,4.35,4.35,0.7859817182176947,0.03381889269165713,0.9043009569904302,0.6710449247443078
Ratatouille,2062.0,8.627272727272727,20.50803,20,1,1,22,Animation,"Seekor tikus bernama Remy bermimpi menjadi koki Prancis yang hebat meskipun ada keinginan keluarganya dan masalah yang jelas menjadi tikus dalam profesi yang jelas-jelas fobia terhadap hewan pengerat.Ketika takdir menempatkan Remy di selokan Paris, dia mendapati dirinya berada di lokasi ideal di bawah sebuah restoran yang dipopulerkan oleh pahlawan kulinernya, Auguste Gusteau.Terlepas dari bahaya yang terlihat jika menjadi pengunjung yang tidak diharapkan - dan tentu saja tidak diinginkan - di dapur sebuah restoran Prancis yang mewah, hasrat Remy untuk memasak segera memicu perlombaan tikus yang lucu dan mengasyikkan yang menjungkirbalikkan dunia kuliner Paris.",90.91,4.55,4.55,0.7852457860215813,0.03745838965858592,0.9000109998900011,0.6701178709095083
Die Hard,562.0,8.6,16.640522,21,1,1,23,Action,"Polisi NYPD, rencana John McClane untuk berdamai dengan istrinya yang terasing menjadi kacau ketika beberapa menit setelah dia tiba di kantornya, seluruh gedung diambil alih oleh sekelompok teroris.Dengan sedikit bantuan dari LAPD, McClane yang cerdik bertekad untuk menyelamatkan para sandera dan menjatuhkan orang-orang jahat sendirian.",91.3,4.35,4.35,0.7788983708301007,0.03039429712157976,0.9043009569904302,0.6668183319364953
The Green Mile,497.0,8.560869565217391,19.96678,21,1,1,23,Fantasy,"Kisah supernatural berlatar belakang terpidana mati di penjara Selatan, di mana raksasa lembut John Coffey memiliki kekuatan misterius untuk menyembuhkan penyakit manusia.Ketika kepala penjaga blok sel, Paul Edgecomb, mengakui hadiah ajaib Coffey, dia berusaha mati-matian untuk membantu mencegah eksekusi pria yang dihukum itu.",91.3,4.35,4.35,0.7697912099031943,0.03646978405372237,0.9043009569904302,0.6634798488594708
The Prestige,1124.0,8.565217391304348,16.94556,21,1,1,23,Drama,"Kisah misterius tentang dua penyihir yang persaingan sengitnya membawa mereka pada pertarungan seumur hidup demi supremasi -- penuh obsesi, tipu daya, dan kecemburuan dengan konsekuensi berbahaya dan mematikan.",91.3,4.35,4.35,0.7708031166728506,0.030951456061988746,0.9043009569904302,0.6628821366459522
The Dark Knight,155.0,8.4875,123.167259,26,4,2,32,Drama,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",81.25,12.5,6.25,0.7527152831652446,0.22496783849067767,0.7937520624793752,0.6594768280245704
Birdman,194662.0,8.51304347826087,18.193263,21,1,1,23,Drama,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",91.3,4.35,4.35,0.7586602354369754,0.03323041436038146,0.9043009569904302,0.657266487687693
Her,152601.0,8.521739130434783,13.829515,21,1,1,23,Romance,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",91.3,4.35,4.35,0.7606840489762878,0.025259928021329144,0.9043009569904302,0.6566842971895387
12 Years a Slave,76203.0,8.44,30.316249,23,1,1,25,Drama,"Di Amerika Serikat sebelum Perang Saudara, Solomon Northup, seorang pria kulit hitam bebas dari bagian utara New York, diculik dan dijual sebagai budak.Menghadapi kekejaman serta kebaikan tak terduga, Salomo berjuang tidak hanya untuk tetap hidup, namun juga untuk mempertahankan martabatnya.Di tahun kedua belas pengembaraannya yang tak terlupakan, kesempatan pertemuan Salomo dengan seorang abolisionis Kanada akan mengubah hidupnya selamanya.",92.0,4.0,4.0,0.7416602017067493,0.05537332781494446,0.9120008799912002,0.6555050304137235
The Terminator,218.0,8.478260869565217,19.293562,21,1,1,23,Action,"Di masa depan pasca-apokaliptik, superkomputer tirani yang berkuasa menteleportasi seorang pembunuh cyborg yang dikenal sebagai ""Terminator"" kembali ke tahun 1984 untuk membunuh Sarah Connor, yang putranya yang belum lahir ditakdirkan untuk memimpin pemberontak melawan hegemoni mekanis abad ke-21.Sementara itu, gerakan perlawanan manusia mengirimkan seorang pejuang tunggal untuk melindungi Sarah.Bisakah dia menghentikan mesin pembunuh yang hampir tidak bisa dihancurkan itu?",91.3,4.35,4.35,0.7505649812797246,0.0352401358540087,0.9043009569904302,0.6536208049077932
How to Train Your Dragon,10191.0,8.469565217391304,14.416681,21,1,1,23,Fantasy,"Sebagai putra seorang pemimpin Viking yang berada di titik puncak kedewasaan, Hiccup Horrendous Haddock III yang pemalu menghadapi ritual peralihan: dia harus membunuh seekor naga untuk membuktikan keberaniannya sebagai pejuang.Tapi setelah menjatuhkan seekor naga yang ditakuti, dia menyadari bahwa dia tidak ingin lagi menghancurkannya, dan malah berteman dengan binatang itu – yang dia beri nama Toothless – yang membuat ayah prajuritnya kecewa.",91.3,4.35,4.35,0.7485411677404121,0.026332400258900147,0.9043009569904302,0.650827351019115
La La Land,313369.0,8.57391304347826,19.681686,20,2,1,23,Comedy,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",86.96,8.7,4.35,0.7728269302121631,0.035949053289171855,0.8565614343856561,0.6505717060796128
Spider-Man 2,558.0,8.469565217391304,10.834506,21,1,1,23,Action,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",91.3,4.35,4.35,0.7485411677404121,0.019789475025455246,0.9043009569904302,0.6495187659724261
Black Swan,44214.0,8.450000000000001,12.989056,20,1,1,22,Drama,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",90.91,4.55,4.55,0.7439875872769592,0.023724810278958695,0.9000109998900011,0.6467420556612717
Casino Royale,36557.0,8.295652173913044,23.065078,21,1,1,23,Adventure,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",91.3,4.35,4.35,0.708064896954161,0.04212889678968079,0.9043009569904302,0.6337485149321457
12 Years a Slide,76203.0,8.0,30.316249,1,0,0,1,Drama,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",100.0,0.0,0.0,0.639255236617533,0.05537332781494446,1.0,0.6307022838717554
Pirates of the Curse of the Black Pearl,22.0,7.8,47.326665,1,0,0,1,Adventure,"Jack Sparrow, seorang bajak laut abad ke-17 yang berkeliaran di Laut Karibia, berhadapan dengan bajak laut saingannya yang bertekad menjarah desa Port Royal.Ketika putri gubernur diculik, Sparrow memutuskan untuk membantu cinta gadis itu menyelamatkannya.Namun misi pelayaran mereka tidaklah sederhana.",100.0,0.0,0.0,0.5927075252133438,0.08644324485634942,1.0,0.6136424115779419
Blade Runner,78.0,7.869565217391305,96.27237400000001,21,1,1,23,Science Fiction,"Dalam film dystopian Los Angeles tahun 2019 yang dipenuhi kabut asap, pelari pedang Rick Deckard dipanggil keluar dari masa pensiunnya untuk menghentikan kuartet pengganda yang melarikan diri ke Bumi mencari pencipta mereka cara untuk memperpanjang umur pendek mereka.",91.3,4.35,4.35,0.6088980335278444,0.175843710909781,0.9043009569904302,0.6109080460430074
Harry Potter and the Prisoner of Potter,673.0,7.8,28.460276,1,0,0,1,Adventure,"Harry, Ron, dan Hermione kembali ke Hogwarts untuk menjalani tahun penuh keajaiban.Harry kembali berhadapan dengan bahaya, kali ini dalam bentuk narapidana yang melarikan diri, Sirius Black – dan meminta bantuan Profesor Lupin yang simpatik.",100.0,0.0,0.0,0.5927075252133438,0.0519833503363756,1.0,0.606750432673947
Toy Story 2,863.0,7.918181818181818,17.547693,20,1,1,22,Animation,"Andy berangkat ke Kamp Koboi, meninggalkan mainannya sendiri.Segalanya berubah menjadi lebih cepat ketika seorang kolektor mainan obsesif bernama Al McWhiggen, pemilik Al's Toy Barn menculik Woody.Mainan Andy melakukan misi penyelamatan yang berani, Buzz Lightyear menemui tandingannya, dan Woody harus memutuskan di mana dia dan hatinya sebenarnya berada.",90.91,4.55,4.55,0.620212991043092,0.03205126587016112,0.9000109998900011,0.5865200486625786
Furious 7,168259.0,7.869565217391305,27.275687,21,1,1,23,Action,Deckard Shaw berusaha membalas dendam terhadap Dominic Toretto dan keluarganya atas saudara laki-lakinya yang koma.,91.3,4.35,4.35,0.6088980335278444,0.049819671214232975,0.9043009569904302,0.5857032381038978
Dawn of the Planet of the Apes,119450.0,7.6521739130434785,75.385211,21,1,1,23,Science Fiction,"Sekelompok ilmuwan di San Francisco berjuang untuk tetap hidup setelah wabah penyakit yang memusnahkan umat manusia, sementara Caesar mencoba mempertahankan dominasi atas komunitas kera cerdasnya.",91.3,4.35,4.35,0.55830269504503,0.13769282608484174,0.9043009569904302,0.5779801998366125
Ocean's Eleven,161.0,7.826086956521739,12.114932,21,1,1,23,Thriller,"Kurang dari 24 jam setelah pembebasan bersyaratnya, pencuri karismatik Danny Ocean sudah meluncurkan rencana berikutnya: Dalam satu malam, kru spesialis pilihan Danny akan berusaha mencuri lebih dari $150 juta dari tiga kasino Las Vegas.Namun demi mendapatkan uang, Danny mempertaruhkan peluangnya untuk berdamai dengan mantan istrinya, Tess.",91.3,4.35,4.35,0.5987789658312814,0.022128202637858026,0.9043009569904302,0.5751054105403413
Kill Bill: Vol. 2,393.0,7.773913043478261,21.533072,21,1,1,23,Action,"Mempelai Wanita dengan teguh terus melakukan aksi balas dendamnya terhadap sekelompok pembunuh yang mencoba membunuh dia dan bayinya yang belum lahir.Dia mengunjungi masing-masing mantan rekannya satu per satu, memeriksa para korban di Daftar Lima Kematiannya sampai tidak ada lagi yang bisa dilakukan… selain membunuh Bill.",91.3,4.35,4.35,0.5866360845954062,0.03933065250647604,0.9043009569904302,0.5724744598961273
Shrek,808.0,7.782608695652174,17.987728,21,1,1,23,Adventure,"Menjadi ramah lingkungan tidaklah mudah -- terutama jika Anda adalah ogre yang disukai (walaupun bau) bernama Shrek.Dalam misi untuk mengambil putri cantik dari cengkeraman naga yang bernapas api, Shrek bekerja sama dengan rekan senegaranya yang tak terduga -- seekor keledai yang cerdik.",91.3,4.35,4.35,0.5886598981347186,0.03285499994376136,0.9043009569904302,0.5721912361532407
Mission: Impossible - Ghost Protocol,56292.0,7.78695652173913,14.25843,21,1,1,23,Action,"Dalam seri ke-4 Mission Impossible, Ethan Hunt (Cruise) dan timnya berpacu dengan waktu untuk melacak seorang teroris berbahaya bernama Hendricks (Nyqvist), yang telah memperoleh akses ke kode peluncuran nuklir Rusia dan merencanakan serangan ke Amerika Serikat.Upaya untuk menghentikannya berakhir dengan ledakan yang menyebabkan kehancuran parah pada Kremlin dan IMF yang terlibat dalam pemboman tersebut, memaksa Presiden untuk mengingkarinya.Tidak lagi dibantu oleh pemerintah, Ethan dan timnya mengejar Hendricks ke seluruh dunia, meski mereka mungkin masih terlambat untuk menghentikan bencana.",91.3,4.35,4.35,0.5896718049043748,0.026043351158530154,0.9043009569904302,0.5713348597810224
Reservoir Dogs,500.0,7.791304347826086,12.220339999999998,21,1,1,23,Crime,"Perampokan yang gagal ditunjukkan oleh seorang informan polisi, dan tekanan meningkat setelah kejadian di sebuah gudang.Kejahatan melahirkan kekerasan ketika para penyintas -- veteran Mr. White, pendatang baru Mr. Orange, psikopat parolee Mr. Blonde, tukang cekcok Mr. Pink dan Nice Guy Eddie -- terungkap.",91.3,4.35,4.35,0.5906837116740311,0.02232073278030136,0.9043009569904302,0.5710962894902049
Star Wars: Episode III - Revenge of the Sith,1895.0,7.782608695652174,13.165421,21,1,1,23,Science Fiction,"Bertahun-tahun setelah dimulainya Perang Klon, para Ksatria Jedi yang mulia memimpin pasukan kloning dalam jumlah besar ke dalam pertempuran di seluruh galaksi melawan Separatis.Ketika Sith yang jahat mengungkap rencana seribu tahun untuk menguasai galaksi, Republik runtuh dan dari abunya bangkitlah Kekaisaran Galaksi yang jahat.Pahlawan Jedi Anakin Skywalker tergoda oleh sisi gelap the Force untuk menjadi murid baru Kaisar – Darth Vader.Jedi hancur, karena Obi-Wan Kenobi dan Jedi Master Yoda terpaksa bersembunyi.Satu-satunya harapan bagi galaksi adalah keturunan Anakin sendiri – anak kembar yang lahir secara rahasia yang akan tumbuh menjadi pahlawan.",91.3,4.35,4.35,0.5886598981347186,0.024046945017991966,0.9043009569904302,0.5704296251680868
The Godfather,238.0,8.036363636363635,41.109264,26,5,2,33,Drama,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",78.79,15.15,6.06,0.64771845687284,0.07508701857222162,0.7666923330766694,0.5688843320738652
The Fifth Element,18.0,7.726086956521739,24.30526,21,1,1,23,Adventure,"Pada tahun 2257, seorang sopir taksi secara tidak sengaja diberi tugas untuk menyelamatkan seorang gadis muda yang merupakan bagian dari kunci yang akan menjamin kelangsungan hidup umat manusia.",91.3,4.35,4.35,0.5755051101291868,0.04439411780815816,0.9043009569904302,0.567921665723354
Fight Club,550.0,7.948484848484849,63.869598999999994,26,4,3,33,Drama,"Penderita insomnia yang seperti bom waktu dan penjual sabun yang licik menyalurkan agresi pria yang paling mendasar ke dalam bentuk terapi baru yang mengejutkan.Konsep mereka semakin populer, dengan terbentuknya ""klub pertarungan"" bawah tanah di setiap kota, hingga sebuah hal eksentrik menghalangi dan menyulut spiral tak terkendali menuju terlupakan.",78.79,12.12,9.09,0.6272656745891814,0.11665929524579537,0.7666923330766694,0.5669723962667506
Star Trek,13475.0,7.739130434782608,15.362632,21,1,1,23,Science Fiction,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",91.3,4.35,4.35,0.5785408304381556,0.02806020157165076,0.9043009569904302,0.5661727426305371
Catch Me If You Can,640.0,7.665217391304348,19.833077,21,1,1,23,Drama,"Kisah nyata tentang Frank Abagnale Jr. yang, sebelum ulang tahunnya yang ke-19, berhasil menipu cek senilai jutaan dolar sebagai pilot Pan Am, dokter, dan jaksa penuntut hukum.Seorang agen FBI menjalankan misinya untuk memenjarakannya.Tapi Frank tidak hanya menghindari penangkapan, dia juga senang mengejar.",91.3,4.35,4.35,0.5613384153539989,0.0362255724413675,0.9043009569904302,0.5592046092624019
Wreck-It Ralph,82690.0,7.695454545454546,13.697597,20,1,1,22,Family,"Wreck-It Ralph adalah penjahat setinggi 9 kaki dan berat 643 pon dari video game arcade bernama Fix-It Felix Jr., di mana pahlawan utama game tersebut memperbaiki bangunan yang dihancurkan Ralph.Ingin membuktikan bahwa dia bisa menjadi orang baik dan bukan hanya penjahat, Ralph lolos dari permainannya dan mendarat di Hero's Duty, penembak orang pertama di mana dia membantu pahlawan permainan tersebut bertarung melawan penjajah asing.Dia kemudian memasuki Sugar Rush, permainan balap kart dengan trek yang terbuat dari permen, kue, dan manisan lainnya.Di sana, Ralph bertemu Vanellope von Schweetz yang mengetahui bahwa permainannya dihadapkan pada ancaman mengerikan yang dapat memengaruhi seluruh arcade, dan ancaman yang mungkin dimulai oleh Ralph secara tidak sengaja.",90.91,4.55,4.55,0.5683757669793359,0.02501897675263189,0.9000109998900011,0.5591949788071947
Kill fell,24.0,7.4,25.261865,1,0,0,1,Action,"Seorang pembunuh ditembak di altar oleh majikannya yang kejam, Bill dan anggota lingkaran pembunuhan lainnya – namun 'The Bride' hidup untuk merencanakan balas dendamnya.Bersiap untuk mendapatkan balasan, dia membuat daftar kematian dan memburu orang-orang yang bersalah padanya, menyelamatkan Bill untuk yang terakhir.",100.0,0.0,0.0,0.49961210240496534,0.046141378897563215,1.0,0.5590343269819954
V for Vendetta,752.0,7.608695652173913,20.214422,21,1,1,23,Action,"Di dunia di mana Inggris telah menjadi negara fasis, seorang main hakim sendiri bertopeng yang hanya dikenal sebagai 'V' melakukan perang gerilya melawan pemerintah Inggris yang menindas.Ketika 'V' menyelamatkan seorang wanita muda dari polisi rahasia, dia menemukan sekutu yang dengannya dia dapat melanjutkan perjuangannya untuk membebaskan rakyat Inggris.",91.3,4.35,4.35,0.548183627348467,0.03692210787672397,0.9043009569904302,0.5527665223467074
Fury,228150.0,7.556521739130435,36.713807,21,1,1,23,War,"Bulan-bulan terakhir Perang Dunia II pada bulan April 1945. Saat Sekutu melakukan serangan terakhir mereka di Teater Eropa, seorang sersan Angkatan Darat AS yang tangguh dalam pertempuran di Divisi Lapis Baja ke-2 bernama Wardaddy memerintahkan sebuah tank Sherman bernama ""Fury"" dan lima awaknya dalam misi mematikan di belakang garis musuh.Kalah jumlah dan persenjataan, Wardaddy dan anak buahnya menghadapi rintangan besar dalam upaya heroik mereka untuk menyerang jantung Nazi Jerman.",91.3,4.35,4.35,0.5360407461125916,0.06705861501353953,0.9043009569904302,0.5527223831561326
21 Jump Street,64688.0,7.586956521739131,11.250764000000002,21,1,1,23,Action,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",91.3,4.35,4.35,0.5431240935001858,0.020549779860317675,0.9043009569904302,0.5469622898192855
Men in Black,607.0,7.654545454545455,15.781024,19,2,1,22,Action,"Men in Black mengikuti eksploitasi agen Kay dan Jay, anggota organisasi rahasia yang didirikan untuk memantau dan mengawasi aktivitas alien di Bumi.Kedua Men in Black mendapati diri mereka berada di tengah plot mematikan teroris antargalaksi yang tiba di Bumi untuk membunuh dua duta besar dari galaksi berlawanan.Untuk mencegah dunia bertabrakan, MiB harus melacak teroris dan mencegah kehancuran Bumi.Ini hanyalah hari-hari biasa bagi Men in Black.",86.36,9.09,4.55,0.5588546441921154,0.02882440420671786,0.8499615003849962,0.5401806530529001
Eternal Sunshine of the Spotless Mind,38.0,7.717391304347826,12.906327,19,3,1,23,Science Fiction,"Joel Barish, yang patah hati karena pacarnya menjalani prosedur untuk menghapusnya dari ingatannya, memutuskan untuk melakukan hal yang sama.Namun, saat dia melihat ingatannya tentang wanita itu memudar, dia menyadari bahwa dia masih mencintainya, dan mungkin sudah terlambat untuk memperbaiki kesalahannya.",82.61,13.04,4.35,0.5734812965898743,0.02357370385293605,0.8087119128808713,0.5340689629297858
The Matrix,603.0,7.818181818181818,33.366332,25,5,3,33,Action,"Berlatar abad ke-22, The Matrix bercerita tentang seorang peretas komputer yang bergabung dengan sekelompok pemberontak bawah tanah melawan komputer besar dan kuat yang kini menguasai bumi.",75.76,15.15,9.09,0.5969391353409974,0.060944374741686264,0.7333626663733364,0.5306672425308367
Inception,27205.0,7.828125,29.108149,24,5,3,32,Action,"Cobb, seorang pencuri terampil yang melakukan spionase perusahaan dengan menyusup ke alam bawah sadar targetnya, ditawari kesempatan untuk mendapatkan kembali kehidupan lamanya sebagai pembayaran atas tugas yang dianggap mustahil: ""inception"", penanaman ide orang lain ke dalam alam bawah sadar target.",75.0,15.62,9.38,0.5992532971295579,0.053166705309197315,0.7250027499725004,0.5277608146183684
Interstellar,157336.0,7.8,32.213481,24,5,3,32,Adventure,Interstellar mengisahkan petualangan sekelompok penjelajah yang memanfaatkan lubang cacing yang baru ditemukan untuk melampaui batasan perjalanan ruang angkasa manusia dan menaklukkan jarak yang sangat jauh dalam perjalanan antarbintang.,75.0,15.62,9.38,0.5927075252133438,0.058838665808342086,0.7250027499725004,0.5256223207600904
